title;authors;summary;categories;year;keywords
Understanding Prior Bias and Choice Paralysis in Transformer-based Language Representation Models through Four Experimental Probes;[arxiv.Result.Author('Ke Shen'), arxiv.Result.Author('Mayank Kejriwal')];"Recent work on transformer-based neural networks has led to impressive
advances on multiple-choice natural language understanding (NLU) problems, such
as Question Answering (QA) and abductive reasoning. Despite these advances,
there is limited work still on understanding whether these models respond to
perturbed multiple-choice instances in a sufficiently robust manner that would
allow them to be trusted in real-world situations. We present four confusion
probes, inspired by similar phenomena first identified in the behavioral
science community, to test for problems such as prior bias and choice
paralysis. Experimentally, we probe a widely used transformer-based
multiple-choice NLU system using four established benchmark datasets. Here we
show that the model exhibits significant prior bias and to a lesser, but still
highly significant degree, choice paralysis, in addition to other problems. Our
results suggest that stronger testing protocols and additional benchmarks may
be necessary before the language models are used in front-facing systems or
decision making with real world consequences.";['cs.CL', 'cs.AI'];2022;[(4.0, 'would allow'), (4.5, 'world situations'), (7.0, 'widely used transformer'), (2.0, 'used'), (5.0, 'understanding whether')]
Decomposed Prompting: A Modular Approach for Solving Complex Tasks;[arxiv.Result.Author('Tushar Khot'), arxiv.Result.Author('Harsh Trivedi'), arxiv.Result.Author('Matthew Finlayson'), arxiv.Result.Author('Yao Fu'), arxiv.Result.Author('Kyle Richardson'), arxiv.Result.Author('Peter Clark'), arxiv.Result.Author('Ashish Sabharwal')];"Few-shot prompting is a surprisingly powerful way to use Large Language
Models (LLMs) to solve various tasks. However, this approach struggles as the
task complexity increases or when the individual reasoning steps of the task
themselves are hard to learn, especially when embedded in more complex tasks.
To address this, we propose Decomposed Prompting, a new approach to solve
complex tasks by decomposing them (via prompting) into simpler sub-tasks that
can be delegated to a library of prompting-based LLMs dedicated to these
sub-tasks. This modular structure allows each prompt to be optimized for its
specific sub-task, further decomposed if necessary, and even easily replaced
with more effective prompts, trained models, or symbolic functions if desired.
We show that the flexibility and modularity of Decomposed Prompting allows it
to outperform prior work on few-shot prompting using GPT3. On symbolic
reasoning tasks, we can further decompose sub-tasks that are hard for LLMs into
even simpler solvable sub-tasks. When the complexity comes from the input
length, we can recursively decompose the task into the same task but with
smaller inputs. We also evaluate our approach on textual multi-step reasoning
tasks: on long-context multi-hop QA task, we can more effectively teach the
sub-tasks via our separate sub-tasks prompts; and on open-domain multi-hop QA,
we can incorporate a symbolic information retrieval within our decomposition
framework, leading to improved performance on both tasks.";['cs.CL'];2022;[(4.5, 'via prompting'), (15.0, 'use large language models'), (5.0, 'trained models'), (4.0, 'textual multi'), (3.916666666666667, 'tasks via')]
Ask Me Anything: A simple strategy for prompting language models;[arxiv.Result.Author('Simran Arora'), arxiv.Result.Author('Avanika Narayan'), arxiv.Result.Author('Mayee F. Chen'), arxiv.Result.Author('Laurel Orr'), arxiv.Result.Author('Neel Guha'), arxiv.Result.Author('Kush Bhatia'), arxiv.Result.Author('Ines Chami'), arxiv.Result.Author('Frederic Sala'), arxiv.Result.Author('Christopher Ré')];"Large language models (LLMs) transfer well to new tasks out-of-the-box simply
given a natural language prompt that demonstrates how to perform the task and
no additional training. Prompting is a brittle process wherein small
modifications to the prompt can cause large variations in the model
predictions, and therefore significant effort is dedicated towards designing a
painstakingly ""perfect prompt"" for a task. To mitigate the high degree of
effort involved in prompt-design, we instead ask whether producing multiple
effective, yet imperfect, prompts and aggregating them can lead to a high
quality prompting strategy. Our observations motivate our proposed prompting
method, ASK ME ANYTHING (AMA). We first develop an understanding of the
effective prompt formats, finding that question-answering (QA) prompts, which
encourage open-ended generation (""Who went to the park?"") tend to outperform
those that restrict the model outputs (""John went to the park. Output True or
False.""). Our approach recursively uses the LLM itself to transform task inputs
to the effective QA format. We apply the collected prompts to obtain several
noisy votes for the input's true label. We find that the prompts can have very
different accuracies and complex dependencies and thus propose to use weak
supervision, a procedure for combining the noisy predictions, to produce the
final predictions for the inputs. We evaluate AMA across open-source model
families (e.g., EleutherAI, BLOOM, OPT, and T0) and model sizes (125M-175B
parameters), demonstrating an average performance lift of 10.2% over the
few-shot baseline. This simple strategy enables the open-source GPT-J-6B model
to match and exceed the performance of few-shot GPT3-175B on 15 of 20 popular
benchmarks. Averaged across these tasks, the GPT-J-6B model outperforms
few-shot GPT3-175B. We release our code here:
https://github.com/HazyResearch/ama_prompting";['cs.CL'];2022;[(4.0, 'yet imperfect'), (3.0, 'went'), (9.0, 'use weak supervision'), (1.0, 'understanding'), (4.0, 'true label')]
Time Will Change Things: An Empirical Study on Dynamic Language Understanding in Social Media Classification;[arxiv.Result.Author('Yuji Zhang'), arxiv.Result.Author('Jing Li')];"Language features are ever-evolving in the real-world social media
environment. Many trained models in natural language understanding (NLU),
ineffective in semantic inference for unseen features, might consequently
struggle with the deteriorating performance in dynamicity. To address this
challenge, we empirically study social media NLU in a dynamic setup, where
models are trained on the past data and test on the future. It better reflects
the realistic practice compared to the commonly-adopted static setup of random
data split. To further analyze model adaption to the dynamicity, we explore the
usefulness of leveraging some unlabeled data created after a model is trained.
The performance of unsupervised domain adaption baselines based on
auto-encoding and pseudo-labeling and a joint framework coupling them both are
examined in the experiments. Substantial results on four social media tasks
imply the universally negative effects of evolving environments over
classification accuracy, while auto-encoding and pseudo-labeling
collaboratively show the best robustness in dynamicity.";['cs.CL'];2022;[(17.333333333333336, 'world social media environment'), (1.0, 'usefulness'), (24.0, 'unsupervised domain adaption baselines based'), (4.0, 'unseen features'), (8.666666666666666, 'unlabeled data created')]
On Task-Adaptive Pretraining for Dialogue Response Selection;[arxiv.Result.Author('Tzu-Hsiang Lin'), arxiv.Result.Author('Ta-Chung Chi'), arxiv.Result.Author('Anna Rumshisky')];"Recent advancements in dialogue response selection (DRS) are based on the
\textit{task-adaptive pre-training (TAP)} approach, by first initializing their
model with BERT~\cite{devlin-etal-2019-bert}, and adapt to dialogue data with
dialogue-specific or fine-grained pre-training tasks. However, it is uncertain
whether BERT is the best initialization choice, or whether the proposed
dialogue-specific fine-grained learning tasks are actually better than MLM+NSP.
This paper aims to verify assumptions made in previous works and understand the
source of improvements for DRS. We show that initializing with RoBERTa achieve
similar performance as BERT, and MLM+NSP can outperform all previously proposed
TAP tasks, during which we also contribute a new state-of-the-art on the Ubuntu
corpus. Additional analyses shows that the main source of improvements comes
from the TAP step, and that the NSP task is crucial to DRS, different from
common NLU tasks.";['cs.CL'];2022;[(2.0, 'whether'), (9.0, 'verify assumptions made'), (1.0, 'understand'), (7.25, 'uncertain whether bert'), (4.0, 'ubuntu corpus')]
Microscopy is All You Need;[arxiv.Result.Author('Sergei V. Kalinin'), arxiv.Result.Author('Rama Vasudevan'), arxiv.Result.Author('Yongtao Liu'), arxiv.Result.Author('Ayana Ghosh'), arxiv.Result.Author('Kevin Roccapriore'), arxiv.Result.Author('Maxim Ziatdinov')];"We pose that microscopy offers an ideal real-world experimental environment
for the development and deployment of active Bayesian and reinforcement
learning methods. Indeed, the tremendous progress achieved by machine learning
(ML) and artificial intelligence over the last decade has been largely achieved
via the utilization of static data sets, from the paradigmatic MNIST to the
bespoke corpora of text and image data used to train large models such as GPT3,
DALLE and others. However, it is now recognized that continuous, minute
improvements to state-of-the-art do not necessarily translate to advances in
real-world applications. We argue that a promising pathway for the development
of ML methods is via the route of domain-specific deployable algorithms in
areas such as electron and scanning probe microscopy and chemical imaging. This
will benefit both fundamental physical studies and serve as a test bed for more
complex autonomous systems such as robotics and manufacturing. Favorable
environment characteristics of scanning and electron microscopy include low
risk, extensive availability of domain-specific priors and rewards, relatively
small effects of exogeneous variables, and often the presence of both upstream
first principles as well as downstream learnable physical models for both
statics and dynamics. Recent developments in programmable interfaces, edge
computing, and access to APIs facilitating microscope control, all render the
deployment of ML codes on operational microscopes straightforward. We discuss
these considerations and hope that these arguments will lead to creating a
novel set of development targets for the ML community by accelerating both
real-world ML applications and scientific progress.";['cond-mat.dis-nn', 'cs.LG'];2022;[(7.166666666666666, 'world ml applications'), (8.666666666666666, 'world experimental environment'), (5.166666666666666, 'world applications'), (1.0, 'well'), (2.0, 'via')]
Knowledge Distillation Transfer Sets and their Impact on Downstream NLU Tasks;[arxiv.Result.Author('Charith Peris'), arxiv.Result.Author('Lizhen Tan'), arxiv.Result.Author('Thomas Gueudre'), arxiv.Result.Author('Turan Gojayev'), arxiv.Result.Author('Pan Wei'), arxiv.Result.Author('Gokmen Oz')];"Teacher-student knowledge distillation is a popular technique for compressing
today's prevailing large language models into manageable sizes that fit
low-latency downstream applications. Both the teacher and the choice of
transfer set used for distillation are crucial ingredients in creating a high
quality student. Yet, the generic corpora used to pretrain the teacher and the
corpora associated with the downstream target domain are often significantly
different, which raises a natural question: should the student be distilled
over the generic corpora, so as to learn from high-quality teacher predictions,
or over the downstream task corpora to align with finetuning? Our study
investigates this trade-off using Domain Classification (DC) and Intent
Classification/Named Entity Recognition (ICNER) as downstream tasks. We distill
several multilingual students from a larger multilingual LM with varying
proportions of generic and task-specific datasets, and report their performance
after finetuning on DC and ICNER. We observe significant improvements across
tasks and test sets when only task-specific corpora is used. We also report on
how the impact of adding task-specific data to the transfer set correlates with
the similarity between generic and task-specific data. Our results clearly
indicate that, while distillation from a generic LM benefits downstream tasks,
students learn better using target domain data even if it comes at the price of
noisier teacher predictions. In other words, target domain data still trumps
teacher knowledge.";['cs.CL', 'cs.AI'];2022;[(1.0, 'yet'), (1.0, 'words'), (4.0, 'varying proportions'), (13.25, 'using domain classification'), (2.3333333333333335, 'used')]
A Win-win Deal: Towards Sparse and Robust Pre-trained Language Models;[arxiv.Result.Author('Yuanxin Liu'), arxiv.Result.Author('Fandong Meng'), arxiv.Result.Author('Zheng Lin'), arxiv.Result.Author('Jiangnan Li'), arxiv.Result.Author('Peng Fu'), arxiv.Result.Author('Yanan Cao'), arxiv.Result.Author('Weiping Wang'), arxiv.Result.Author('Jie Zhou')];"Despite the remarkable success of pre-trained language models (PLMs), they
still face two challenges: First, large-scale PLMs are inefficient in terms of
memory footprint and computation. Second, on the downstream tasks, PLMs tend to
rely on the dataset bias and struggle to generalize to out-of-distribution
(OOD) data. In response to the efficiency problem, recent studies show that
dense PLMs can be replaced with sparse subnetworks without hurting the
performance. Such subnetworks can be found in three scenarios: 1) the
fine-tuned PLMs, 2) the raw PLMs and then fine-tuned in isolation, and even
inside 3) PLMs without any parameter fine-tuning. However, these results are
only obtained in the in-distribution (ID) setting. In this paper, we extend the
study on PLMs subnetworks to the OOD setting, investigating whether sparsity
and robustness to dataset bias can be achieved simultaneously. To this end, we
conduct extensive experiments with the pre-trained BERT model on three natural
language understanding (NLU) tasks. Our results demonstrate that \textbf{sparse
and robust subnetworks (SRNets) can consistently be found in BERT}, across the
aforementioned three scenarios, using different training and compression
methods. Furthermore, we explore the upper bound of SRNets using the OOD
information and show that \textbf{there exist sparse and almost unbiased BERT
subnetworks}. Finally, we present 1) an analytical study that provides insights
on how to promote the efficiency of SRNets searching process and 2) a solution
to improve subnetworks' performance at high sparsity. The code is available at
https://github.com/llyx97/sparse-and-robust-PLM.";['cs.CL'];2022;[(8.5, 'using different training'), (4.0, 'upper bound'), (1.0, 'tuning'), (3.5, 'tuned plms'), (1.5, 'tuned')]
Entity Aware Syntax Tree Based Data Augmentation for Natural Language Understanding;[arxiv.Result.Author('Jiaxing Xu'), arxiv.Result.Author('Jianbin Cui'), arxiv.Result.Author('Jiangneng Li'), arxiv.Result.Author('Wenge Rong'), arxiv.Result.Author('Noboru Matsuda')];"Understanding the intention of the users and recognizing the semantic
entities from their sentences, aka natural language understanding (NLU), is the
upstream task of many natural language processing tasks. One of the main
challenges is to collect a sufficient amount of annotated data to train a
model. Existing research about text augmentation does not abundantly consider
entity and thus performs badly for NLU tasks. To solve this problem, we propose
a novel NLP data augmentation technique, Entity Aware Data Augmentation (EADA),
which applies a tree structure, Entity Aware Syntax Tree (EAST), to represent
sentences combined with attention on the entity. Our EADA technique
automatically constructs an EAST from a small amount of annotated data, and
then generates a large number of training instances for intent detection and
slot filling. Experimental results on four datasets showed that the proposed
technique significantly outperforms the existing data augmentation methods in
terms of both accuracy and generalization ability.";['cs.CL', 'cs.AI', 'cs.LG'];2022;[(1.0, 'users'), (4.0, 'upstream task'), (2.5, 'understanding'), (5.0, 'tree structure'), (4.0, 'training instances')]
AraLegal-BERT: A pretrained language model for Arabic Legal text;[arxiv.Result.Author('Muhammad AL-Qurishi'), arxiv.Result.Author('Sarah AlQaseemi'), arxiv.Result.Author('Riad Soussi')];"The effectiveness of the BERT model on multiple linguistic tasks has been
well documented. On the other hand, its potentials for narrow and specific
domains such as Legal, have not been fully explored. In this paper, we examine
how BERT can be used in the Arabic legal domain and try customizing this
language model for several downstream tasks using several different
domain-relevant training and testing datasets to train BERT from scratch. We
introduce the AraLegal-BERT, a bidirectional encoder Transformer-based model
that have been thoroughly tested and carefully optimized with the goal to
amplify the impact of NLP-driven solution concerning jurisprudence, legal
documents, and legal practice. We fine-tuned AraLegal-BERT and evaluated it
against three BERT variations for Arabic language in three natural languages
understanding (NLU) tasks. The results show that the base version of
AraLegal-BERT achieve better accuracy than the general and original BERT over
the Legal text.";['cs.CL'];2022;[(4.0, 'well documented'), (1.0, 'used'), (3.333333333333333, 'tuned aralegal'), (4.0, 'try customizing'), (4.0, 'train bert')]
"Revisiting the Roles of ""Text"" in Text Games";[arxiv.Result.Author('Yi Gu'), arxiv.Result.Author('Shunyu Yao'), arxiv.Result.Author('Chuang Gan'), arxiv.Result.Author('Joshua B. Tenenbaum'), arxiv.Result.Author('Mo Yu')];"Text games present opportunities for natural language understanding (NLU)
methods to tackle reinforcement learning (RL) challenges. However, recent work
has questioned the necessity of NLU by showing random text hashes could perform
decently. In this paper, we pursue a fine-grained investigation into the roles
of text in the face of different RL challenges, and reconcile that semantic and
non-semantic language representations could be complementary rather than
contrasting. Concretely, we propose a simple scheme to extract relevant
contextual information into an approximate state hash as extra input for an
RNN-based text agent. Such a lightweight plug-in achieves competitive
performance with state-of-the-art text agents using advanced NLU techniques
such as knowledge graph and passage retrieval, suggesting non-NLU methods might
suffice to tackle the challenge of partial observability. However, if we remove
RNN encoders and use approximate or even ground-truth state hash alone, the
model performs miserably, which confirms the importance of semantic function
approximation to tackle the challenge of combinatorially large observation and
action spaces. Our findings and analysis provide new insights for designing
better text game task setups and agents.";['cs.CL', 'cs.LG'];2022;[(4.5, 'use approximate'), (14.166666666666666, 'truth state hash alone'), (16.666666666666668, 'text games present opportunities'), (4.666666666666667, 'text'), (7.666666666666667, 'tackle reinforcement learning')]
Knowledge Prompting in Pre-trained Language Model for Natural Language Understanding;[arxiv.Result.Author('Jianing Wang'), arxiv.Result.Author('Wenkang Huang'), arxiv.Result.Author('Qiuhui Shi'), arxiv.Result.Author('Hongbin Wang'), arxiv.Result.Author('Minghui Qiu'), arxiv.Result.Author('Xiang Li'), arxiv.Result.Author('Ming Gao')];"Knowledge-enhanced Pre-trained Language Model (PLM) has recently received
significant attention, which aims to incorporate factual knowledge into PLMs.
However, most existing methods modify the internal structures of fixed types of
PLMs by stacking complicated modules, and introduce redundant and irrelevant
factual knowledge from knowledge bases (KBs). In this paper, to address these
problems, we introduce a seminal knowledge prompting paradigm and further
propose a knowledge-prompting-based PLM framework KP-PLM. This framework can be
flexibly combined with existing mainstream PLMs. Specifically, we first
construct a knowledge sub-graph from KBs for each context. Then we design
multiple continuous prompts rules and transform the knowledge sub-graph into
natural language prompts. To further leverage the factual knowledge from these
prompts, we propose two novel knowledge-aware self-supervised tasks including
prompt relevance inspection and masked prompt modeling. Extensive experiments
on multiple natural language understanding (NLU) tasks show the superiority of
KP-PLM over other state-of-the-art methods in both full-resource and
low-resource settings.";['cs.CL'];2022;[(1.0, 'transform'), (9.333333333333334, 'trained language model'), (6.0, 'tasks show'), (32.5, 'supervised tasks including prompt relevance inspection'), (1.0, 'superiority')]
